source	target	category
法蘭城	ファーレン城	Area
芙蕾雅島	フレイア地方	Area
伊爾村	イール	Area
聖拉魯卡村	セラルカ	Area
亞留特村	アリュート	Area
維諾亞村	ウィルノア	Area
烏克蘭村	ウクラム	Area
索奇亞島	ソルキア地方	Area
奇利村	キリ	Area
加納村	ガルーナ	Area
莎蓮娜島	セレーネ地方	Area
傑諾瓦鎮	ジェノーバ	Area
蒂娜村	ティナ	Area
阿巴尼斯村	アルパネス	Area
米內葛爾島	ミネガル地方	Area
阿凱魯法村	アケルファ	Area
坎那貝拉村	カンナベラ	Area
庫魯克斯島	クルクス地方	Area
哥拉爾城	コーラル	Area
魯米那斯村	ルミナス	Area
米諾基亞村	ミノキア	Area
雷克塔爾鎮	レクタール	Area
諾斯菲拉特	ノースフェレット	Area
艾爾莎島	エルシャ島	Area
艾夏島	アイシャ島	Area
利夏島	リーシャ島	Area
雪拉威森塔	シェラウェッソの塔	Area
洞穴之村	洞窟の村	Area
丘斯特村	キュステ	Area
辛梅爾	ヒンメルキント	Area
法蘭城遺跡	ファーレンの遺跡	Area
溫迪爾平原	ウェンテル平原	Area
蓋雷布倫森林	ケレブレンの森	Area
魯多特盆地	ルドゥテ盆地	Area
梅布爾隘地	メンブルム隘地	Area
布拉基姆高地	ブラキウム高地	Area
光之路	光さす路	Area
德威特島	デュウェイト地方	Area
亞諾曼城	アダマン城	Area
尼維爾海村	二ビル	Area
克瑞村	クレー	Area
摩頓村	ムートン	Area
弗利德島	ドルリット地方	Area
漢米頓商城	ハミルトン	Area
傑諾姆島	ジェネーマ地方	Area
雷歐娜村	レオナ	Area
哈那可半島	ハンカ地方	Area
絲米村	シミー	Area
亞紀城	アキ城	Area
日耀之域	日の領域	Area
碧波鎮	碧波鎮	Area
旭日村	旭日村	Area
朝日村	朝日村	Area
水曜之域	水曜之域	Area
清波村	清波村	Area
薰風村	薰風村	Area
翠湖村	翠湖村	Area
普雷德島	プレイド地方	Area
起始之地	始まりの地	Area
可亞村	コヤ	Area
歐爾艾雷卡城	オレレッカ	Area
多拉村	ドラ	Area
普亞維特拉城	プアビトラ	Area
塔里斯島	タリス地方	Area
多路亞鎮	ドルーア	Area
沃倫港	ウォーレン港	Area
阿卡內亞島	アカネイア地方	Area
艾雷布城	エレブ城	Area
去死團	死ね死ね団	Term
去死團成員	死ね死ね団員	Term
開啟者	開くもの	Term
里庸	リーユン	NPC
耶卡	サザンカ	NPC
阿夏芙	アシャフ	NPC
帕魯凱斯	バルケス	NPC
李貝留斯	リベリウス	NPC
阿爾卡迪亞	アルカディア	NPC
羅連斯	ラウレンス	NPC
月光灣	月光湾	Area
月光灣管理伯伯	月光湾管理人のおじいさん	NPC
